Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
James Abankwah,IRL,"DF,MF",Udinese,20,2004,1.0,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0
Saud Abdulhamid,KSA,DF,Roma,25,1999,2.3,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0
Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Tammy Abraham,ENG,FW,Roma,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Milan,26,1997,13.1,17,11,2,10,5,6,8,75.0,2,13,0,13,2,19,16,0
Federico Accornero,ITA,MF,Genoa,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Inter,36,1988,19.0,23,19,16,7,0,11,17,64.7,6,22,16,6,26,49,81,0
Che Adams,SCO,FW,Torino,28,1996,29.5,12,6,2,4,6,1,7,14.3,6,13,6,7,2,14,18,0
Yacine Adli,FRA,MF,Fiorentina,24,2000,13.7,32,19,11,16,5,17,39,43.6,22,13,1,12,6,38,19,0
Vasilije Adžić,MNE,"MF,FW",Juventus,18,2006,0.5,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0
Michel Aebischer,SUI,MF,Bologna,27,1997,8.0,18,13,8,7,3,10,14,71.4,4,4,1,3,7,25,6,0
Honest Ahanor,ITA,"DF,MF",Genoa,16,2008,3.0,7,5,2,3,2,7,10,70.0,3,4,0,4,1,8,9,0
Junior Ajayi,CIV,FW,Hellas Verona,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,1992,10.7,30,18,15,14,1,9,21,42.9,12,19,6,13,13,43,16,1
David Akpan Ankeye,NGA,"FW,MF",Genoa,22,2002,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1
Dele Alli,ENG,MF,Como,28,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Pontus Almqvist,SWE,"FW,MF",Parma,25,1999,12.4,17,13,7,7,3,8,17,47.1,9,13,0,13,19,36,8,0
Giorgio Altare,ITA,DF,Venezia,25,1998,8.4,13,12,8,3,2,8,15,53.3,7,21,11,10,17,30,49,0
Sofyan Amrabat,MAR,MF,Fiorentina,27,1996,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0
